Initial : [w1, w2] = [-1.768846, 0.075552]
Epoch 001 : [w1, w2] = [119617.600508, 0.083588]
Epoch 002 : [w1, w2] = [-8086030131.355637, -542.980313]
Epoch 003 : [w1, w2] = [546607550849557.625000, 36710033.816047]
Epoch 004 : [w1, w2] = [-36950123829879414784.000000, -2481561570823.194824]
Epoch 005 : [w1, w2] = [2497791420776029685284864.000000, 167751080626083040.000000]
Epoch 006 : [w1, w2] = [-168848202253039643116552847360.000000, -11339805299242635886592.000000]
Epoch 007 : [w1, w2] = [11413969624103279916572126442684416.000000, 766559498423506639679127552.000000]
Epoch 008 : [w1, w2] = [-771572932619761027570577866053782601728.000000, -51818655533930873133292090032128.000000]
Epoch 009 : [w1, w2] = [52157558672163456027139530419068186468024320.000000, 3502889295438207511013460637120462848.000000]
Epoch 010 : [w1, w2] = [-3525798808679593145480065801053250678616557092864.000000, -236791813482328444566207525809371710750720.000000]
Epoch 011 : [w1, w2] = [238340473667932904874878539965917171873122393534758912.000000, 16006889799591993199822206359096844243561349120.000000]
Epoch 012 : [w1, w2] = [-16111577679478665049897321485234288418319388444429194887168.000000, -1082049743562623970761900739908005923838705658757120.000000]
Epoch 013 : [w1, w2] = [1089126539555083017315303662657606826719373080551036285685334016.000000, 73145480615090116108037458657850664716099673709418119168.000000]
Epoch 014 : [w1, w2] = [-73623864947384394416002410428695999941926659179136365467410938986496.000000, -4944561344099498040416678618513533131839722198752663709941760.000000]
Epoch 015 : [w1, w2] = [4976899646578260611899170757770156719325712365928148442668432743370588160.000000, 334247402299783608626804869579660405057789543719150683367942389760.000000]
Epoch 016 : [w1, w2] = [-336433439209045363527744715953015055219380255966402472509449261471094009757696.000000, -22594790148063178162394058120090593268218727064495585331349354258104320.000000]
Epoch 017 : [w1, w2] = [22742564057092361286196188872689702044087320928989263612453426168358569929233924096.000000, 1527385219218929515871603174215559833522751645627189801663764821759649382400.000000]
Epoch 018 : [w1, w2] = [-1537374587695393307847739219934053181333512297076930500361901597913150271234725459787776.000000, -103249713433980876417399530032943720658875845706226027871366422420187551352487936.000000]
Epoch 019 : [w1, w2] = [103924984753621375300572963442662726187041912145540889123387592313126289483216535878476234752.000000, 6979577378423705580964299952486715509247405277320364201906578306281988670489087705088.000000]
Epoch 020 : [w1, w2] = [-7025225044360083162877845753003908351357762848633445203706799729852814165766889574985440130236416.000000, -471812451204066236173746790243638943617457402466503993438513956118098821552661857967276032.000000]
Epoch 021 : [w1, w2] = [474898187773699321103433417560100987574088137659444861152393445935256674307571953487870860376464687104.000000, 31894049888943808647813623498614446359895615936252168455738193489572370162821784438298613121024.000000]
Epoch 022 : [w1, w2] = [-32102642595314442821436793350211570907245013932458462990802114087616135289262617577208241108038287420817408.000000, -2156005878442722100687357953017211891542137599497159530839658753960372661603087368702756767274106880.000000]
Epoch 023 : [w1, w2] = [2170106536800671246373943942860532908430224058348197127292788721489348095396082961442883969193138841921702068224.000000, 145743841376850235774016462465110998524437255834697564297159089038408958293985377677931046116878501019648.000000]
